country,lat,lon,region
Afghanistan,33.83113861,66.02471161,Asia
Albania,41.13928604,20.06431389,Europe
Algeria,28.155088,2.678749,Africa
Andorra,42.54530334,1.576285958,Europe
Angola,-12.33292389,17.57283783,Africa
Anguilla,18.22723,-63.048988,Americas
Antigua and Barbuda,17.07766533,-61.79870987,Americas
Argentina,-35.181148,-65.093855,Americas
Armenia,40.2926445,44.93947601,Asia
Aruba,12.510052,-70.009354,Americas
Australia,-25.578937,134.359718,Oceania
Austria,47.587086,14.141286,Europe
Azerbaijan,40.35964203,47.65240097,Asia
Bahamas,24.67953682,-78.05500031,Americas
Bahrain,26.089246,50.562773,Asia
Bangladesh,23.80488396,90.27921295,Asia
Barbados,13.17222214,-59.55642319,Americas
Belarus,53.54219818,28.05012321,Europe
Belgium,50.64118576,4.660569191,Europe
Belize,17.20055389,-88.7070694,Americas
Benin,9.656064034,2.339581966,Africa
Bermuda,32.299507,-64.790337,Americas
Bhutan,27.41687965,90.43476105,Asia
Bolivia,-16.714647,-64.657794,Americas
Bosnia and Herzegovina,44.16825485,17.78524971,Europe
Botswana,-24.653257,25.906792,Africa
Brazil,-10.776797,-53.068056,Americas
British Virgin Islands,18.436539,-64.618103,Americas
Brunei,4.49690485,114.6308365,Asia
Bulgaria,42.75708771,25.23870277,Europe
Burkina Faso,12.28544807,-1.74417901,Africa
Burundi,-3.36126,29.347916,Africa
CAR,6.571341,20.482826,Africa
Cabo Verde,15.08362865,-23.62467194,Africa
Cambodia,12.71077156,104.9167862,Asia
Cameroon,5.697135925,12.74233627,Africa
Canada,56.130366,-106.346771,Americas
Cayman Islands,19.313299,-81.254601,Europe
Chad,15.36843491,18.66713333,Africa
Channel Islands,49.372284,-2.364351,Europe
Chile,-35.232005,-71.218827,Americas
China,36.56311586,103.7358068,Asia
Colombia,3.906449,-73.075029,Americas
Congo,-0.827340007,15.24145699,Africa
Costa Rica,9.974835396,-84.19385529,Americas
Croatia,45.14006805,16.42730331,Europe
Cuba,21.6105175,-78.96027374,Americas
Curaçao,12.16957,-68.990021,Americas
Cyprus,34.91740799,32.9589119,Asia
Czechia,49.739106,15.3315,Europe
DRC,-2.878549099,23.6566906,Africa
Denmark,56.262275,9.336356,Europe
Diamond Princess,37.804363,-122.271111,Global
Djibouti,11.73109245,42.57910538,Africa
Dominica,15.4346571,-61.35007477,Americas
Dominican Republic,18.897331,-70.499937,Americas
Ecuador,-1.46557,-78.397209,Americas
